date_x,season,team_x,opponent,team_score,opp_score,wteam,lteam,home_away,result,team_win_pct,team_win_streak,team_loss_streak,team_wins,team_losses,team_record,game_key,oppo_game_key_x,matchup_key_x,team_bdb,opponent_bdb,game_id,date_y,team_y,venue,team_runs,closing_moneyline,closing_runline,team_opponent_x,oppo_game_key_y,matchup_key_y,team_code,opponent_code,was_favorite,covered_runline,matchup_key,team_opponent_y,opponent_score,won_as_underdog,roi_$100_bet,total_runs,closing_total,hit_over
3/28/24,2024,LAA,BAL,3,11,BAL,LAA,away,L,,0,0,0,0,0-0,2024-03-28_LAA_BAL,2024-03-28_BAL_LAA,2024-03-28_BAL_LAA,,BAL,45379-LAA@BAL-1,3/28/24,LOS ANGELES ANGELS,road,3,160,,BALTIMORE ORIOLES,2024-03-28_BALTIMORE ORIOLES_LOS ANGELES ANGELS,2024-03-28_BALTIMORE ORIOLES_LOS ANGELES ANGELS,LAA,BAL,FALSE,,2024-03-28_BAL_LAA,BAL,11,FALSE,-100,14,8,TRUE
3/30/24,2024,LAA,BAL,4,13,BAL,LAA,away,L,0,0,1,0,1,0-1,2024-03-30_LAA_BAL,2024-03-30_BAL_LAA,2024-03-30_BAL_LAA,,BAL,45381-LAA@BAL-1,3/30/24,LOS ANGELES ANGELS,road,4,140,,BALTIMORE ORIOLES,2024-03-30_BALTIMORE ORIOLES_LOS ANGELES ANGELS,2024-03-30_BALTIMORE ORIOLES_LOS ANGELES ANGELS,LAA,BAL,FALSE,,2024-03-30_BAL_LAA,BAL,13,FALSE,-100,17,8.5,TRUE
3/31/24,2024,LAA,BAL,4,1,LAA,BAL,away,W,0,0,2,0,2,0-2,2024-03-31_LAA_BAL,2024-03-31_BAL_LAA,2024-03-31_BAL_LAA,,BAL,45382-LAA@BAL-1,3/31/24,LOS ANGELES ANGELS,road,4,120,,BALTIMORE ORIOLES,2024-03-31_BALTIMORE ORIOLES_LOS ANGELES ANGELS,2024-03-31_BALTIMORE ORIOLES_LOS ANGELES ANGELS,LAA,BAL,FALSE,,2024-03-31_BAL_LAA,BAL,1,TRUE,120,5,8.5,FALSE
4/1/24,2024,LAA,MIA,7,4,LAA,MIA,away,W,0.333333333,1,0,1,2,1-2,2024-04-01_LAA_MIA,2024-04-01_MIA_LAA,2024-04-01_LAA_MIA,,MIA,45383-LAA@MIA-1,4/1/24,LOS ANGELES ANGELS,road,7,-108,,MIAMI MARLINS,2024-04-01_MIAMI MARLINS_LOS ANGELES ANGELS,2024-04-01_LOS ANGELES ANGELS_MIAMI MARLINS,LAA,MIA,TRUE,,2024-04-01_LAA_MIA,MIA,4,FALSE,92.59,11,8.5,TRUE
4/2/24,2024,LAA,MIA,3,1,LAA,MIA,away,W,0.5,2,0,2,2,2-2,2024-04-02_LAA_MIA,2024-04-02_MIA_LAA,2024-04-02_LAA_MIA,,MIA,45384-LAA@MIA-1,4/2/24,LOS ANGELES ANGELS,road,3,122,,MIAMI MARLINS,2024-04-02_MIAMI MARLINS_LOS ANGELES ANGELS,2024-04-02_LOS ANGELES ANGELS_MIAMI MARLINS,LAA,MIA,FALSE,,2024-04-02_LAA_MIA,MIA,1,TRUE,122,4,9,FALSE
4/3/24,2024,LAA,MIA,10,2,LAA,MIA,away,W,0.6,3,0,3,2,3-2,2024-04-03_LAA_MIA,2024-04-03_MIA_LAA,2024-04-03_LAA_MIA,,MIA,45385-LAA@MIA-1,4/3/24,LOS ANGELES ANGELS,road,10,-106,,MIAMI MARLINS,2024-04-03_MIAMI MARLINS_LOS ANGELES ANGELS,2024-04-03_LOS ANGELES ANGELS_MIAMI MARLINS,LAA,MIA,TRUE,,2024-04-03_LAA_MIA,MIA,2,FALSE,94.34,12,8.5,TRUE
4/5/24,2024,LAA,BOS,6,8,BOS,LAA,home,L,0.666666667,4,0,4,2,4-2,2024-04-05_LAA_BOS,2024-04-05_BOS_LAA,2024-04-05_BOS_LAA,,BOS,45387-BOS@LAA-1,4/5/24,LOS ANGELES ANGELS,home,6,-102,,BOSTON RED SOX,2024-04-05_BOSTON RED SOX_LOS ANGELES ANGELS,2024-04-05_BOSTON RED SOX_LOS ANGELES ANGELS,LAA,BOS,TRUE,,2024-04-05_BOS_LAA,BOS,8,FALSE,-100,14,8.5,TRUE
4/6/24,2024,LAA,BOS,2,1,LAA,BOS,home,W,0.571428571,0,1,4,3,4-3,2024-04-06_LAA_BOS,2024-04-06_BOS_LAA,2024-04-06_BOS_LAA,,BOS,45388-BOS@LAA-1,4/6/24,LOS ANGELES ANGELS,home,2,-116,,BOSTON RED SOX,2024-04-06_BOSTON RED SOX_LOS ANGELES ANGELS,2024-04-06_BOSTON RED SOX_LOS ANGELES ANGELS,LAA,BOS,TRUE,,2024-04-06_BOS_LAA,BOS,1,FALSE,86.21,3,8,FALSE
4/7/24,2024,LAA,BOS,2,12,BOS,LAA,home,L,0.625,1,0,5,3,5-3,2024-04-07_LAA_BOS,2024-04-07_BOS_LAA,2024-04-07_BOS_LAA,,BOS,45389-BOS@LAA-1,4/7/24,LOS ANGELES ANGELS,home,2,-100,,BOSTON RED SOX,2024-04-07_BOSTON RED SOX_LOS ANGELES ANGELS,2024-04-07_BOSTON RED SOX_LOS ANGELES ANGELS,LAA,BOS,TRUE,,2024-04-07_BOS_LAA,BOS,12,FALSE,-100,14,8.5,TRUE
4/12/24,2024,LAA,BOS,7,0,LAA,BOS,away,W,0.5,0,2,6,6,6-6,2024-04-12_LAA_BOS,2024-04-12_BOS_LAA,2024-04-12_BOS_LAA,,BOS,45394-LAA@BOS-1,4/12/24,LOS ANGELES ANGELS,road,7,-102,,BOSTON RED SOX,2024-04-12_BOSTON RED SOX_LOS ANGELES ANGELS,2024-04-12_BOSTON RED SOX_LOS ANGELES ANGELS,LAA,BOS,TRUE,,2024-04-12_BOS_LAA,BOS,0,FALSE,98.04,7,9,FALSE
