date,season,team,opponent,team_score,opp_score,wteam,lteam,home_away,result,team_win_pct,team_win_streak,team_loss_streak,team_wins,team_losses,team_record
4/1/21,2021,ANA,CHA,4,3,ANA,CHA,home,W,,0,0,0,0,0-0
4/2/21,2021,ANA,CHA,8,12,CHA,ANA,home,L,1,1,0,1,0,1-0
4/3/21,2021,ANA,CHA,5,3,ANA,CHA,home,W,0.5,0,1,1,1,1-1
4/4/21,2021,ANA,CHA,7,4,ANA,CHA,home,W,0.666666667,1,0,2,1,2-1
4/5/21,2021,ANA,HOU,7,6,ANA,HOU,home,W,0.75,2,0,3,1,3-1
4/6/21,2021,ANA,HOU,2,4,HOU,ANA,home,L,0.8,3,0,4,1,4-1
4/8/21,2021,ANA,TOR,7,5,ANA,TOR,away,W,0.666666667,0,1,4,2,4-2
4/9/21,2021,ANA,TOR,7,1,ANA,TOR,away,W,0.714285714,1,0,5,2,5-2
4/10/21,2021,ANA,TOR,1,15,TOR,ANA,away,L,0.75,2,0,6,2,6-2
4/12/21,2021,ANA,KCA,10,3,ANA,KCA,away,W,0.666666667,0,1,6,3,6-3
4/13/21,2021,ANA,KCA,2,3,KCA,ANA,away,L,0.7,1,0,7,3,7-3
4/14/21,2021,ANA,KCA,1,6,KCA,ANA,away,L,0.636363636,0,1,7,4,7-4
4/16/21,2021,ANA,MIN,10,3,ANA,MIN,home,W,0.583333333,0,2,7,5,7-5
4/19/21,2021,ANA,TEX,4,6,TEX,ANA,home,L,0.615384615,1,0,8,5,8-5
4/20/21,2021,ANA,TEX,6,2,ANA,TEX,home,W,0.571428571,0,1,8,6,8-6
4/21/21,2021,ANA,TEX,4,7,TEX,ANA,home,L,0.6,1,0,9,6,9-6
4/22/21,2021,ANA,HOU,2,8,HOU,ANA,away,L,0.5625,0,1,9,7,9-7
4/23/21,2021,ANA,HOU,4,5,HOU,ANA,away,L,0.529411765,0,2,9,8,9-8
4/24/21,2021,ANA,HOU,2,16,HOU,ANA,away,L,0.5,0,3,9,9,9-9
4/25/21,2021,ANA,HOU,4,2,ANA,HOU,away,W,0.473684211,0,4,9,10,9-10
4/26/21,2021,ANA,TEX,9,4,ANA,TEX,away,W,0.5,1,0,10,10,10-10
4/27/21,2021,ANA,TEX,1,6,TEX,ANA,away,L,0.523809524,2,0,11,10,11-10
4/28/21,2021,ANA,TEX,4,3,ANA,TEX,away,W,0.5,0,1,11,11,11-11
4/30/21,2021,ANA,SEA,4,7,SEA,ANA,away,L,0.52173913,1,0,12,11,12-11
5/1/21,2021,ANA,SEA,10,5,ANA,SEA,away,W,0.5,0,1,12,12,12-12
5/2/21,2021,ANA,SEA,0,2,SEA,ANA,away,L,0.52,1,0,13,12,13-12
5/3/21,2021,ANA,TBA,3,7,TBA,ANA,home,L,0.5,0,1,13,13,13-13
5/4/21,2021,ANA,TBA,3,8,TBA,ANA,home,L,0.481481481,0,2,13,14,13-14
5/5/21,2021,ANA,TBA,1,3,TBA,ANA,home,L,0.464285714,0,3,13,15,13-15
5/6/21,2021,ANA,TBA,3,8,TBA,ANA,home,L,0.448275862,0,4,13,16,13-16
5/7/21,2021,ANA,LAN,9,2,ANA,LAN,home,W,0.433333333,0,5,13,17,13-17
5/8/21,2021,ANA,LAN,11,14,LAN,ANA,home,L,0.451612903,1,0,14,17,14-17
5/9/21,2021,ANA,LAN,2,1,ANA,LAN,home,W,0.4375,0,1,14,18,14-18
5/10/21,2021,ANA,HOU,5,4,ANA,HOU,away,W,0.454545455,1,0,15,18,15-18
5/11/21,2021,ANA,HOU,1,5,HOU,ANA,away,L,0.470588235,2,0,16,18,16-18
5/12/21,2021,ANA,HOU,1,9,HOU,ANA,away,L,0.457142857,0,1,16,19,16-19
5/14/21,2021,ANA,BOS,3,4,BOS,ANA,away,L,0.444444444,0,2,16,20,16-20
5/15/21,2021,ANA,BOS,0,9,BOS,ANA,away,L,0.432432432,0,3,16,21,16-21
5/16/21,2021,ANA,BOS,6,5,ANA,BOS,away,W,0.421052632,0,4,16,22,16-22
5/17/21,2021,ANA,CLE,7,4,ANA,CLE,home,W,0.435897436,1,0,17,22,17-22
5/18/21,2021,ANA,CLE,5,6,CLE,ANA,home,L,0.45,2,0,18,22,18-22
5/19/21,2021,ANA,CLE,2,3,CLE,ANA,home,L,0.43902439,0,1,18,23,18-23
5/20/21,2021,ANA,MIN,7,1,ANA,MIN,home,W,0.428571429,0,2,18,24,18-24
5/20/21,2021,ANA,MIN,3,6,MIN,ANA,home,L,0.441860465,1,0,19,24,19-24
5/21/21,2021,ANA,OAK,4,8,OAK,ANA,home,L,0.431818182,0,1,19,25,19-25
5/22/21,2021,ANA,OAK,2,6,OAK,ANA,home,L,0.422222222,0,2,19,26,19-26
5/23/21,2021,ANA,OAK,6,5,ANA,OAK,home,W,0.413043478,0,3,19,27,19-27
5/25/21,2021,ANA,TEX,11,5,ANA,TEX,home,W,0.425531915,1,0,20,27,20-27
5/26/21,2021,ANA,TEX,9,8,ANA,TEX,home,W,0.4375,2,0,21,27,21-27
5/27/21,2021,ANA,OAK,0,5,OAK,ANA,away,L,0.448979592,3,0,22,27,22-27
5/28/21,2021,ANA,OAK,1,3,OAK,ANA,away,L,0.44,0,1,22,28,22-28
5/29/21,2021,ANA,OAK,4,0,ANA,OAK,away,W,0.431372549,0,2,22,29,22-29
5/30/21,2021,ANA,OAK,4,2,ANA,OAK,away,W,0.442307692,1,0,23,29,23-29
5/31/21,2021,ANA,SFN,1,6,SFN,ANA,away,L,0.452830189,2,0,24,29,24-29
6/1/21,2021,ANA,SFN,8,1,ANA,SFN,away,W,0.444444444,0,1,24,30,24-30
6/3/21,2021,ANA,SEA,2,6,SEA,ANA,home,L,0.454545455,1,0,25,30,25-30
6/4/21,2021,ANA,SEA,3,2,ANA,SEA,home,W,0.446428571,0,1,25,31,25-31
6/5/21,2021,ANA,SEA,12,5,ANA,SEA,home,W,0.456140351,1,0,26,31,26-31
6/6/21,2021,ANA,SEA,5,9,SEA,ANA,home,L,0.465517241,2,0,27,31,27-31
6/7/21,2021,ANA,KCA,8,3,ANA,KCA,home,W,0.457627119,0,1,27,32,27-32
6/8/21,2021,ANA,KCA,8,1,ANA,KCA,home,W,0.466666667,1,0,28,32,28-32
6/9/21,2021,ANA,KCA,6,1,ANA,KCA,home,W,0.475409836,2,0,29,32,29-32
6/11/21,2021,ANA,ARI,6,5,ANA,ARI,away,W,0.483870968,3,0,30,32,30-32
6/12/21,2021,ANA,ARI,8,7,ANA,ARI,away,W,0.492063492,4,0,31,32,31-32
6/13/21,2021,ANA,ARI,10,3,ANA,ARI,away,W,0.5,5,0,32,32,32-32
6/14/21,2021,ANA,OAK,5,8,OAK,ANA,away,L,0.507692308,6,0,33,32,33-32
6/15/21,2021,ANA,OAK,4,6,OAK,ANA,away,L,0.5,0,1,33,33,33-33
6/16/21,2021,ANA,OAK,4,8,OAK,ANA,away,L,0.492537313,0,2,33,34,33-34
6/17/21,2021,ANA,DET,7,5,ANA,DET,home,W,0.485294118,0,3,33,35,33-35
6/18/21,2021,ANA,DET,11,3,ANA,DET,home,W,0.492753623,1,0,34,35,34-35
6/19/21,2021,ANA,DET,8,3,ANA,DET,home,W,0.5,2,0,35,35,35-35
6/20/21,2021,ANA,DET,3,5,DET,ANA,home,L,0.507042254,3,0,36,35,36-35
6/22/21,2021,ANA,SFN,0,5,SFN,ANA,home,L,0.5,0,1,36,36,36-36
6/23/21,2021,ANA,SFN,3,9,SFN,ANA,home,L,0.493150685,0,2,36,37,36-37
6/25/21,2021,ANA,TBA,3,4,TBA,ANA,away,L,0.486486486,0,3,36,38,36-38
6/26/21,2021,ANA,TBA,3,13,TBA,ANA,away,L,0.48,0,4,36,39,36-39
6/27/21,2021,ANA,TBA,6,4,ANA,TBA,away,W,0.473684211,0,5,36,40,36-40
6/28/21,2021,ANA,NYA,5,3,ANA,NYA,away,W,0.480519481,1,0,37,40,37-40
6/29/21,2021,ANA,NYA,5,11,NYA,ANA,away,L,0.487179487,2,0,38,40,38-40
6/30/21,2021,ANA,NYA,11,8,ANA,NYA,away,W,0.481012658,0,1,38,41,38-41
7/2/21,2021,ANA,BAL,8,7,ANA,BAL,home,W,0.4875,1,0,39,41,39-41
7/3/21,2021,ANA,BAL,4,1,ANA,BAL,home,W,0.49382716,2,0,40,41,40-41
7/4/21,2021,ANA,BAL,6,5,ANA,BAL,home,W,0.5,3,0,41,41,41-41
7/5/21,2021,ANA,BOS,4,5,BOS,ANA,home,L,0.506024096,4,0,42,41,42-41
7/6/21,2021,ANA,BOS,5,3,ANA,BOS,home,W,0.5,0,1,42,42,42-42
7/7/21,2021,ANA,BOS,5,4,ANA,BOS,home,W,0.505882353,1,0,43,42,43-42
7/9/21,2021,ANA,SEA,3,7,SEA,ANA,away,L,0.511627907,2,0,44,42,44-42
7/10/21,2021,ANA,SEA,0,2,SEA,ANA,away,L,0.505747126,0,1,44,43,44-43
7/11/21,2021,ANA,SEA,7,1,ANA,SEA,away,W,0.5,0,2,44,44,44-44
7/16/21,2021,ANA,SEA,5,6,SEA,ANA,home,L,0.505617978,1,0,45,44,45-44
7/17/21,2021,ANA,SEA,9,4,ANA,SEA,home,W,0.5,0,1,45,45,45-45
7/18/21,2021,ANA,SEA,4,7,SEA,ANA,home,L,0.505494505,1,0,46,45,46-45
7/19/21,2021,ANA,OAK,1,4,OAK,ANA,away,L,0.5,0,1,46,46,46-46
7/20/21,2021,ANA,OAK,0,6,OAK,ANA,away,L,0.494623656,0,2,46,47,46-47
7/22/21,2021,ANA,MIN,3,2,ANA,MIN,away,W,0.489361702,0,3,46,48,46-48
7/23/21,2021,ANA,MIN,4,5,MIN,ANA,away,L,0.494736842,1,0,47,48,47-48
7/24/21,2021,ANA,MIN,2,1,ANA,MIN,away,W,0.489583333,0,1,47,49,47-49
7/25/21,2021,ANA,MIN,6,2,ANA,MIN,away,W,0.494845361,1,0,48,49,48-49
7/26/21,2021,ANA,COL,6,2,ANA,COL,home,W,0.5,2,0,49,49,49-49
7/27/21,2021,ANA,COL,3,12,COL,ANA,home,L,0.505050505,3,0,50,49,50-49
7/28/21,2021,ANA,COL,8,7,ANA,COL,home,W,0.5,0,1,50,50,50-50
7/29/21,2021,ANA,OAK,0,4,OAK,ANA,home,L,0.504950495,1,0,51,50,51-50
7/30/21,2021,ANA,OAK,0,2,OAK,ANA,home,L,0.5,0,1,51,51,51-51
7/31/21,2021,ANA,OAK,1,0,ANA,OAK,home,W,0.495145631,0,2,51,52,51-52
8/1/21,2021,ANA,OAK,3,8,OAK,ANA,home,L,0.5,1,0,52,52,52-52
8/2/21,2021,ANA,TEX,1,4,TEX,ANA,away,L,0.495238095,0,1,52,53,52-53
8/3/21,2021,ANA,TEX,11,3,ANA,TEX,away,W,0.490566038,0,2,52,54,52-54
8/4/21,2021,ANA,TEX,2,1,ANA,TEX,away,W,0.495327103,1,0,53,54,53-54
8/5/21,2021,ANA,TEX,5,0,ANA,TEX,away,W,0.5,2,0,54,54,54-54
8/6/21,2021,ANA,LAN,4,3,ANA,LAN,away,W,0.504587156,3,0,55,54,55-54
8/7/21,2021,ANA,LAN,3,5,LAN,ANA,away,L,0.509090909,4,0,56,54,56-54
8/8/21,2021,ANA,LAN,2,8,LAN,ANA,away,L,0.504504505,0,1,56,55,56-55
8/10/21,2021,ANA,TOR,6,3,ANA,TOR,home,W,0.5,0,2,56,56,56-56
8/10/21,2021,ANA,TOR,0,4,TOR,ANA,home,L,0.504424779,1,0,57,56,57-56
8/11/21,2021,ANA,TOR,2,10,TOR,ANA,home,L,0.5,0,1,57,57,57-57
8/12/21,2021,ANA,TOR,6,3,ANA,TOR,home,W,0.495652174,0,2,57,58,57-58
8/13/21,2021,ANA,HOU,1,4,HOU,ANA,home,L,0.5,1,0,58,58,58-58
8/14/21,2021,ANA,HOU,2,8,HOU,ANA,home,L,0.495726496,0,1,58,59,58-59
8/15/21,2021,ANA,HOU,3,1,ANA,HOU,home,W,0.491525424,0,2,58,60,58-60
8/16/21,2021,ANA,NYA,1,2,NYA,ANA,away,L,0.495798319,1,0,59,60,59-60
8/17/21,2021,ANA,DET,8,2,ANA,DET,away,W,0.491666667,0,1,59,61,59-61
8/18/21,2021,ANA,DET,3,1,ANA,DET,away,W,0.495867769,1,0,60,61,60-61
8/19/21,2021,ANA,DET,13,10,ANA,DET,away,W,0.5,2,0,61,61,61-61
8/20/21,2021,ANA,CLE,1,9,CLE,ANA,away,L,0.504065041,3,0,62,61,62-61
8/21/21,2021,ANA,CLE,1,5,CLE,ANA,away,L,0.5,0,1,62,62,62-62
8/22/21,2021,ANA,CLE,0,3,CLE,ANA,away,L,0.496,0,2,62,63,62-63
8/24/21,2021,ANA,BAL,14,8,ANA,BAL,away,W,0.492063492,0,3,62,64,62-64
8/25/21,2021,ANA,BAL,6,10,BAL,ANA,away,L,0.496062992,1,0,63,64,63-64
8/26/21,2021,ANA,BAL,1,13,BAL,ANA,away,L,0.4921875,0,1,63,65,63-65
8/27/21,2021,ANA,SDN,0,5,SDN,ANA,home,L,0.488372093,0,2,63,66,63-66
